|                      Tasks                       |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|--------------------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|zeroshot_zho                                      |      1|none  |     0|acc     |↑  |0.5122|±  |0.0016|
| - hellaswag_zh_mubench                           |      1|none  |     0|acc     |↑  |0.2616|±  |0.0046|
|                                                  |       |none  |     0|acc_norm|↑  |0.2404|±  |0.0045|
| - winogrande_zh_mubench                          |      1|none  |     0|acc     |↑  |0.4897|±  |0.0144|
| - xcomps_zh                                      |      1|none  |     0|acc     |↑  |0.5096|±  |0.0042|
| - xstorycloze_zh_mubench                         |      1|none  |     0|acc     |↑  |0.4783|±  |0.0139|
|                                                  |       |none  |     0|acc_norm|↑  |0.5426|±  |0.0139|
| - zhoblimp                                       |      1|none  |     0|acc     |↑  |0.5793|±  |0.0018|
|  - zhoblimp_BA_BEI_subj_drop                     |      1|none  |     0|acc     |↑  |0.0500|±  |0.0126|
|  - zhoblimp_BA_deletion                          |      1|none  |     0|acc     |↑  |0.0133|±  |0.0066|
|  - zhoblimp_BA_duplicate_argument                |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_inversion                         |      1|none  |     0|acc     |↑  |0.5367|±  |0.0288|
|  - zhoblimp_BA_meiba                             |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_negation                          |      1|none  |     0|acc     |↑  |0.6967|±  |0.0266|
|  - zhoblimp_BA_no_progressive                    |      1|none  |     0|acc     |↑  |0.9767|±  |0.0087|
|  - zhoblimp_BA_no_stative_verb                   |      1|none  |     0|acc     |↑  |0.9933|±  |0.0047|
|  - zhoblimp_BA_suo_adverbial_a                   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_suo_adverbial_b                   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_verb_le_a                         |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_verb_le_b                         |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_BEI_construction_a                   |      1|none  |     0|acc     |↑  |0.5933|±  |0.0284|
|  - zhoblimp_BEI_construction_b                   |      1|none  |     0|acc     |↑  |0.6833|±  |0.0269|
|  - zhoblimp_BEI_deletion                         |      1|none  |     0|acc     |↑  |0.0933|±  |0.0168|
|  - zhoblimp_BEI_preposition                      |      1|none  |     0|acc     |↑  |0.3967|±  |0.0283|
|  - zhoblimp_PN_numP_a                            |      1|none  |     0|acc     |↑  |0.9867|±  |0.0066|
|  - zhoblimp_PN_numP_b                            |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_adjective_transitive_dui             |      1|none  |     0|acc     |↑  |0.0067|±  |0.0047|
|  - zhoblimp_agent_animacy_adv                    |      1|none  |     0|acc     |↑  |0.7867|±  |0.0237|
|  - zhoblimp_agent_animacy_passive                |      1|none  |     0|acc     |↑  |0.5100|±  |0.0289|
|  - zhoblimp_agent_animacy_subj                   |      1|none  |     0|acc     |↑  |0.5000|±  |0.0289|
|  - zhoblimp_agent_causative                      |      1|none  |     0|acc     |↑  |0.5400|±  |0.0288|
|  - zhoblimp_agent_deletion                       |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_anaphor_gender_agreement             |      1|none  |     0|acc     |↑  |0.4933|±  |0.0289|
|  - zhoblimp_anaphor_number_agreement             |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_causative_shi_ba                     |      1|none  |     0|acc     |↑  |0.2567|±  |0.0253|
|  - zhoblimp_classifier_noun_agreement            |      1|none  |     0|acc     |↑  |0.8867|±  |0.0183|
