|                      Tasks                       |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|--------------------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|zeroshot_zho                                      |      1|none  |     0|acc     |↑  |0.4824|±  |0.0016|
| - hellaswag_zh_mubench                           |      1|none  |     0|acc     |↑  |0.2572|±  |0.0046|
|                                                  |       |none  |     0|acc_norm|↑  |0.2456|±  |0.0045|
| - winogrande_zh_mubench                          |      1|none  |     0|acc     |↑  |0.5161|±  |0.0144|
| - xcomps_zh                                      |      1|none  |     0|acc     |↑  |0.5468|±  |0.0042|
| - xstorycloze_zh_mubench                         |      1|none  |     0|acc     |↑  |0.4559|±  |0.0139|
|                                                  |       |none  |     0|acc_norm|↑  |0.5015|±  |0.0139|
| - zhoblimp                                       |      1|none  |     0|acc     |↑  |0.5135|±  |0.0017|
|  - zhoblimp_BA_BEI_subj_drop                     |      1|none  |     0|acc     |↑  |0.0933|±  |0.0168|
|  - zhoblimp_BA_deletion                          |      1|none  |     0|acc     |↑  |0.0033|±  |0.0033|
|  - zhoblimp_BA_duplicate_argument                |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_inversion                         |      1|none  |     0|acc     |↑  |0.4433|±  |0.0287|
|  - zhoblimp_BA_meiba                             |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_negation                          |      1|none  |     0|acc     |↑  |0.3967|±  |0.0283|
|  - zhoblimp_BA_no_progressive                    |      1|none  |     0|acc     |↑  |0.9967|±  |0.0033|
|  - zhoblimp_BA_no_stative_verb                   |      1|none  |     0|acc     |↑  |0.6900|±  |0.0267|
|  - zhoblimp_BA_suo_adverbial_a                   |      1|none  |     0|acc     |↑  |0.9500|±  |0.0126|
|  - zhoblimp_BA_suo_adverbial_b                   |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_verb_le_a                         |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
|  - zhoblimp_BA_verb_le_b                         |      1|none  |     0|acc     |↑  |0.0000|±  |0.0000|
|  - zhoblimp_BEI_construction_a                   |      1|none  |     0|acc     |↑  |0.7767|±  |0.0241|
|  - zhoblimp_BEI_construction_b                   |      1|none  |     0|acc     |↑  |0.9200|±  |0.0157|
|  - zhoblimp_BEI_deletion                         |      1|none  |     0|acc     |↑  |0.0067|±  |0.0047|
|  - zhoblimp_BEI_preposition                      |      1|none  |     0|acc     |↑  |1.0000|±  |0.0000|
